,1,2,3,4,5,CY,Z_count_1,Z_count_2,Z_count_3,Z_count_4,Z_count_5,Z_count_6,Z_min,Z_T,Z_max,Z_min_61,Z_max_61,Z_min_c,Z_T_c,Z_max_c,Z_min_61_c,Z_max_61_c,F_count_1,F_count_2,F_count_3,F_count_4,F_count_5,F_count_6,F_min,F_T,F_max,F_min_56,F_max_56,F_min_c,F_T_c,F_max_c,F_min_56_c,F_max_56_c
74,1,1,3,1,3,1,3,0,2,0,0,0,0,3,3,0,3,0,3,3,0,3,3,3,5,3,3,3,3,3,5,3,3,3,3,5,3,3
75,1,1,3,1,4,1,3,0,1,1,0,0,0,3,3,0,3,0,3,3,0,3,3,3,4,4,3,3,3,3,4,3,3,3,3,4,3,3
76,1,1,3,1,5,1,3,0,1,0,1,0,0,3,3,0,3,0,3,3,0,3,3,3,4,3,4,3,3,3,4,3,4,3,3,4,3,4
77,1,1,3,1,6,1,3,0,1,0,0,1,0,3,3,1,3,0,3,3,1,3,3,3,4,3,3,4,3,3,4,3,4,3,3,4,3,4
78,1,1,3,2,1,1,3,1,1,0,0,0,0,3,3,0,3,0,3,3,0,3,3,4,4,3,3,3,3,4,4,3,3,3,4,4,3,3
79,1,1,3,2,2,1,2,2,1,0,0,0,0,2,2,0,2,0,2,2,0,2,2,4,3,2,2,2,2,4,4,2,2,2,4,4,2,2
80,1,1,3,2,3,1,2,1,2,0,0,0,0,2,2,0,2,0,2,2,0,2,2,3,4,2,2,2,2,3,4,2,2,2,3,4,2,2
81,1,1,3,2,4,1,2,1,1,1,0,0,0,2,2,0,2,0,2,2,0,2,2,3,3,3,2,2,2,3,3,2,2,2,3,3,2,2
82,1,1,3,2,5,1,2,1,1,0,1,0,0,2,2,0,2,0,2,2,0,2,2,3,3,2,3,2,2,3,3,2,3,2,3,3,2,3
83,1,1,3,2,6,1,2,1,1,0,0,1,0,2,2,1,2,0,2,2,1,2,2,3,3,2,2,3,2,3,3,2,3,2,3,3,2,3
84,1,1,3,3,1,1,3,0,2,0,0,0,0,3,3,0,3,0,3,3,0,3,3,3,5,3,3,3,3,3,5,3,3,3,3,5,3,3
85,1,1,3,3,2,1,2,1,2,0,0,0,0,2,2,0,2,0,2,2,0,2,2,3,4,2,2,2,2,3,4,2,2,2,3,4,2,2
86,1,1,3,3,3,1,2,0,3,0,0,0,0,2,3,0,2,0,2,3,0,2,2,2,5,2,2,2,2,2,5,2,2,2,2,5,2,2
87,1,1,3,3,4,1,2,0,2,1,0,0,0,2,2,0,2,0,2,2,0,2,2,2,4,3,2,2,2,2,4,2,2,2,2,4,2,2
88,1,1,3,3,5,1,2,0,2,0,1,0,0,2,2,0,2,0,2,2,0,2,2,2,4,2,3,2,2,2,4,2,3,2,2,4,2,3
89,1,1,3,3,6,1,2,0,2,0,0,1,0,2,2,1,2,0,2,2,1,2,2,2,4,2,2,3,2,2,4,2,3,2,2,4,2,3
90,1,1,3,4,1,1,3,0,1,1,0,0,0,3,3,0,3,0,3,3,0,3,3,3,4,4,3,3,3,3,4,3,3,3,3,4,3,3
91,1,1,3,4,2,1,2,1,1,1,0,0,0,2,2,0,2,0,2,2,0,2,2,3,3,3,2,2,2,3,3,2,2,2,3,3,2,2
92,1,1,3,4,3,1,2,0,2,1,0,0,0,2,2,0,2,0,2,2,0,2,2,2,4,3,2,2,2,2,4,2,2,2,2,4,2,2
93,1,1,3,4,4,1,2,0,1,2,0,0,0,2,2,0,2,0,2,2,0,2,2,2,3,4,2,2,2,2,4,2,2,2,2,4,2,2
94,1,1,3,4,5,1,2,0,1,1,1,0,0,2,2,0,2,0,2,2,0,2,2,2,3,3,3,2,2,2,3,2,3,2,2,3,2,3
95,1,1,3,4,6,1,2,0,1,1,0,1,0,2,2,1,2,0,2,2,1,2,2,2,3,3,2,3,2,2,3,2,3,2,2,3,2,3
96,1,1,3,5,1,1,3,0,1,0,1,0,0,3,3,0,3,0,3,3,0,3,3,3,4,3,4,3,3,3,4,3,4,3,3,4,3,4
97,1,1,3,5,2,1,2,1,1,0,1,0,0,2,2,0,2,0,2,2,0,2,2,3,3,2,3,2,2,3,3,2,3,2,3,3,2,3
98,1,1,3,5,3,1,2,0,2,0,1,0,0,2,2,0,2,0,2,2,0,2,2,2,4,2,3,2,2,2,4,2,3,2,2,4,2,3
99,1,1,3,5,4,1,2,0,1,1,1,0,0,2,2,0,2,0,2,2,0,2,2,2,3,3,3,2,2,2,3,2,3,2,2,3,2,3
100,1,1,3,5,5,1,2,0,1,0,2,0,0,2,2,0,2,0,2,2,0,2,2,2,3,2,4,2,2,2,4,2,4,2,2,4,2,4
101,1,1,3,5,6,1,2,0,1,0,1,1,0,2,2,1,2,0,2,2,1,2,2,2,3,2,3,3,2,2,3,3,3,2,2,3,3,3
102,1,1,3,6,1,1,3,0,1,0,0,1,0,3,3,1,3,0,3,3,1,3,3,3,4,3,3,4,3,3,4,3,4,3,3,4,3,4
103,1,1,3,6,2,1,2,1,1,0,0,1,0,2,2,1,2,0,2,2,1,2,2,3,3,2,2,3,2,3,3,2,3,2,3,3,2,3
104,1,1,3,6,3,1,2,0,2,0,0,1,0,2,2,1,2,0,2,2,1,2,2,2,4,2,2,3,2,2,4,2,3,2,2,4,2,3
105,1,1,3,6,4,1,2,0,1,1,0,1,0,2,2,1,2,0,2,2,1,2,2,2,3,3,2,3,2,2,3,2,3,2,2,3,2,3
106,1,1,3,6,5,1,2,0,1,0,1,1,0,2,2,1,2,0,2,2,1,2,2,2,3,2,3,3,2,2,3,3,3,2,2,3,3,3
107,1,1,3,6,6,1,2,0,1,0,0,2,0,2,2,2,2,0,2,2,2,2,2,2,3,2,2,4,2,2,4,2,4,2,2,4,2,4
108,1,1,4,1,1,1,4,0,0,1,0,0,0,4,4,0,4,0,4,4,0,4,4,4,4,5,4,4,4,4,5,4,4,4,4,5,4,4
